scenario_name,horizon_month,market_mortgage_rate,unemployment_rate,hpi_yoy_growth,assumption_note
adverse_credit,2,6.1775,4.8,-0.0102,"Unemployment rises 3.00pp over 12 months and HPI growth falls to -10% YoY; rates held flat. CONSTRUCTED ASSUMPTION at supervisory (DFAST/CCAR-style) severity, NOT taken from the panel window. Disclosed basis: the largest 12-month unemployment rise observed in UNRATE over the window is 11.1pp, but that is the COVID one-off (peak 14.8% in 2020-04); excluding 2020-01..2021-06 the largest rise is only 1.4pp, and the weakest HPI growth observed is -0.29%. The window contains no housing downturn, so an empirically-anchored adverse case would not stress the book; supervisory magnitudes are used instead."
adverse_credit,3,6.1775,5.05,-0.01918,"Unemployment rises 3.00pp over 12 months and HPI growth falls to -10% YoY; rates held flat. CONSTRUCTED ASSUMPTION at supervisory (DFAST/CCAR-style) severity, NOT taken from the panel window. Disclosed basis: the largest 12-month unemployment rise observed in UNRATE over the window is 11.1pp, but that is the COVID one-off (peak 14.8% in 2020-04); excluding 2020-01..2021-06 the largest rise is only 1.4pp, and the weakest HPI growth observed is -0.29%. The window contains no housing downturn, so an empirically-anchored adverse case would not stress the book; supervisory magnitudes are used instead."
adverse_credit,4,6.1775,5.3,-0.02816,"Unemployment rises 3.00pp over 12 months and HPI growth falls to -10% YoY; rates held flat. CONSTRUCTED ASSUMPTION at supervisory (DFAST/CCAR-style) severity, NOT taken from the panel window. Disclosed basis: the largest 12-month unemployment rise observed in UNRATE over the window is 11.1pp, but that is the COVID one-off (peak 14.8% in 2020-04); excluding 2020-01..2021-06 the largest rise is only 1.4pp, and the weakest HPI growth observed is -0.29%. The window contains no housing downturn, so an empirically-anchored adverse case would not stress the book; supervisory magnitudes are used instead."
adverse_credit,5,6.1775,5.55,-0.03714,"Unemployment rises 3.00pp over 12 months and HPI growth falls to -10% YoY; rates held flat. CONSTRUCTED ASSUMPTION at supervisory (DFAST/CCAR-style) severity, NOT taken from the panel window. Disclosed basis: the largest 12-month unemployment rise observed in UNRATE over the window is 11.1pp, but that is the COVID one-off (peak 14.8% in 2020-04); excluding 2020-01..2021-06 the largest rise is only 1.4pp, and the weakest HPI growth observed is -0.29%. The window contains no housing downturn, so an empirically-anchored adverse case would not stress the book; supervisory magnitudes are used instead."
adverse_credit,6,6.1775,5.8,-0.04612,"Unemployment rises 3.00pp over 12 months and HPI growth falls to -10% YoY; rates held flat. CONSTRUCTED ASSUMPTION at supervisory (DFAST/CCAR-style) severity, NOT taken from the panel window. Disclosed basis: the largest 12-month unemployment rise observed in UNRATE over the window is 11.1pp, but that is the COVID one-off (peak 14.8% in 2020-04); excluding 2020-01..2021-06 the largest rise is only 1.4pp, and the weakest HPI growth observed is -0.29%. The window contains no housing downturn, so an empirically-anchored adverse case would not stress the book; supervisory magnitudes are used instead."
adverse_credit,7,6.1775,6.05,-0.0551,"Unemployment rises 3.00pp over 12 months and HPI growth falls to -10% YoY; rates held flat. CONSTRUCTED ASSUMPTION at supervisory (DFAST/CCAR-style) severity, NOT taken from the panel window. Disclosed basis: the largest 12-month unemployment rise observed in UNRATE over the window is 11.1pp, but that is the COVID one-off (peak 14.8% in 2020-04); excluding 2020-01..2021-06 the largest rise is only 1.4pp, and the weakest HPI growth observed is -0.29%. The window contains no housing downturn, so an empirically-anchored adverse case would not stress the book; supervisory magnitudes are used instead."
adverse_credit,8,6.1775,6.3,-0.06408,"Unemployment rises 3.00pp over 12 months and HPI growth falls to -10% YoY; rates held flat. CONSTRUCTED ASSUMPTION at supervisory (DFAST/CCAR-style) severity, NOT taken from the panel window. Disclosed basis: the largest 12-month unemployment rise observed in UNRATE over the window is 11.1pp, but that is the COVID one-off (peak 14.8% in 2020-04); excluding 2020-01..2021-06 the largest rise is only 1.4pp, and the weakest HPI growth observed is -0.29%. The window contains no housing downturn, so an empirically-anchored adverse case would not stress the book; supervisory magnitudes are used instead."
adverse_credit,9,6.1775,6.55,-0.07306,"Unemployment rises 3.00pp over 12 months and HPI growth falls to -10% YoY; rates held flat. CONSTRUCTED ASSUMPTION at supervisory (DFAST/CCAR-style) severity, NOT taken from the panel window. Disclosed basis: the largest 12-month unemployment rise observed in UNRATE over the window is 11.1pp, but that is the COVID one-off (peak 14.8% in 2020-04); excluding 2020-01..2021-06 the largest rise is only 1.4pp, and the weakest HPI growth observed is -0.29%. The window contains no housing downturn, so an empirically-anchored adverse case would not stress the book; supervisory magnitudes are used instead."
adverse_credit,10,6.1775,6.8,-0.08204,"Unemployment rises 3.00pp over 12 months and HPI growth falls to -10% YoY; rates held flat. CONSTRUCTED ASSUMPTION at supervisory (DFAST/CCAR-style) severity, NOT taken from the panel window. Disclosed basis: the largest 12-month unemployment rise observed in UNRATE over the window is 11.1pp, but that is the COVID one-off (peak 14.8% in 2020-04); excluding 2020-01..2021-06 the largest rise is only 1.4pp, and the weakest HPI growth observed is -0.29%. The window contains no housing downturn, so an empirically-anchored adverse case would not stress the book; supervisory magnitudes are used instead."
adverse_credit,11,6.1775,7.05,-0.09102,"Unemployment rises 3.00pp over 12 months and HPI growth falls to -10% YoY; rates held flat. CONSTRUCTED ASSUMPTION at supervisory (DFAST/CCAR-style) severity, NOT taken from the panel window. Disclosed basis: the largest 12-month unemployment rise observed in UNRATE over the window is 11.1pp, but that is the COVID one-off (peak 14.8% in 2020-04); excluding 2020-01..2021-06 the largest rise is only 1.4pp, and the weakest HPI growth observed is -0.29%. The window contains no housing downturn, so an empirically-anchored adverse case would not stress the book; supervisory magnitudes are used instead."
adverse_credit,12,6.1775,7.3,-0.1,"Unemployment rises 3.00pp over 12 months and HPI growth falls to -10% YoY; rates held flat. CONSTRUCTED ASSUMPTION at supervisory (DFAST/CCAR-style) severity, NOT taken from the panel window. Disclosed basis: the largest 12-month unemployment rise observed in UNRATE over the window is 11.1pp, but that is the COVID one-off (peak 14.8% in 2020-04); excluding 2020-01..2021-06 the largest rise is only 1.4pp, and the weakest HPI growth observed is -0.29%. The window contains no housing downturn, so an empirically-anchored adverse case would not stress the book; supervisory magnitudes are used instead."
high_prepayment,1,6.0783,4.3,0.00776,"Market mortgage rate falls 1.19pp over 12 months, opening refinance incentive on seasoned high-coupon loans. CONSTRUCTED ASSUMPTION, calibrated to the largest 12-month rate decline actually observed in MORTGAGE30US over the panel window."
high_prepayment,2,5.9792,4.3,0.00776,"Market mortgage rate falls 1.19pp over 12 months, opening refinance incentive on seasoned high-coupon loans. CONSTRUCTED ASSUMPTION, calibrated to the largest 12-month rate decline actually observed in MORTGAGE30US over the panel window."
high_prepayment,3,5.88,4.3,0.00776,"Market mortgage rate falls 1.19pp over 12 months, opening refinance incentive on seasoned high-coupon loans. CONSTRUCTED ASSUMPTION, calibrated to the largest 12-month rate decline actually observed in MORTGAGE30US over the panel window."
high_prepayment,4,5.7808,4.3,0.00776,"Market mortgage rate falls 1.19pp over 12 months, opening refinance incentive on seasoned high-coupon loans. CONSTRUCTED ASSUMPTION, calibrated to the largest 12-month rate decline actually observed in MORTGAGE30US over the panel window."
high_prepayment,5,5.6817,4.3,0.00776,"Market mortgage rate falls 1.19pp over 12 months, opening refinance incentive on seasoned high-coupon loans. CONSTRUCTED ASSUMPTION, calibrated to the largest 12-month rate decline actually observed in MORTGAGE30US over the panel window."
high_prepayment,6,5.5825,4.3,0.00776,"Market mortgage rate falls 1.19pp over 12 months, opening refinance incentive on seasoned high-coupon loans. CONSTRUCTED ASSUMPTION, calibrated to the largest 12-month rate decline actually observed in MORTGAGE30US over the panel window."
high_prepayment,7,5.4833,4.3,0.00776,"Market mortgage rate falls 1.19pp over 12 months, opening refinance incentive on seasoned high-coupon loans. CONSTRUCTED ASSUMPTION, calibrated to the largest 12-month rate decline actually observed in MORTGAGE30US over the panel window."
high_prepayment,8,5.3842,4.3,0.00776,"Market mortgage rate falls 1.19pp over 12 months, opening refinance incentive on seasoned high-coupon loans. CONSTRUCTED ASSUMPTION, calibrated to the largest 12-month rate decline actually observed in MORTGAGE30US over the panel window."
high_prepayment,9,5.285,4.3,0.00776,"Market mortgage rate falls 1.19pp over 12 months, opening refinance incentive on seasoned high-coupon loans. CONSTRUCTED ASSUMPTION, calibrated to the largest 12-month rate decline actually observed in MORTGAGE30US over the panel window."
high_prepayment,10,5.1858,4.3,0.00776,"Market mortgage rate falls 1.19pp over 12 months, opening refinance incentive on seasoned high-coupon loans. CONSTRUCTED ASSUMPTION, calibrated to the largest 12-month rate decline actually observed in MORTGAGE30US over the panel window."
high_prepayment,11,5.0867,4.3,0.00776,"Market mortgage rate falls 1.19pp over 12 months, opening refinance incentive on seasoned high-coupon loans. CONSTRUCTED ASSUMPTION, calibrated to the largest 12-month rate decline actually observed in MORTGAGE30US over the panel window."
high_prepayment,12,4.9875,4.3,0.00776,"Market mortgage rate falls 1.19pp over 12 months, opening refinance incentive on seasoned high-coupon loans. CONSTRUCTED ASSUMPTION, calibrated to the largest 12-month rate decline actually observed in MORTGAGE30US over the panel window."
